整體產業樣貌,,,,,,,
,,,,,,,
,,,,,,,
T,C,C,C,R,R,R,R
年(民國),,,,家,人,億元,億元
,,,,0,0,8,8
年度,產業別,主分類,次分類,家數,就業人數,產值,出口值
104,出版,圖書出版,圖書出版,793,33355,437.75,─
104,出版,漫畫出版,漫畫出版,─,─,12.6,─
104,出版,雜誌出版,雜誌出版,─,─,─,─
104,出版,數位出版,數位平臺,27,─,─,─
104,出版,原創圖像,插畫經紀,─,─,─,─
104,出版,出版行銷通路,單一／獨立書店,884,─,275.67,─
104,出版,出版行銷通路,連鎖書店（總公司）,19,,,
104,出版,出版行銷通路,網路書店（狹義）,8,,,
104,出版,出版行銷通路,二手書店,─,,,
105,出版,圖書出版,圖書出版,517,32656,425.01,─
105,出版,漫畫出版,漫畫出版,─,─,12.04,─
105,出版,雜誌出版,雜誌出版,295,─,144.99,─
105,出版,數位出版,數位平臺,16,─,11.57,─
105,出版,原創圖像,插畫經紀,─,─,─,─
105,出版,出版行銷通路,單一／獨立書店,490,─,237.18,─
105,出版,出版行銷通路,連鎖書店（總公司）,32,,,
105,出版,出版行銷通路,網路書店（狹義）,6,,,
105,出版,出版行銷通路,二手書店,47,,,
106,出版,圖書出版,圖書出版,542,31729,432.5,─
106,出版,漫畫出版,漫畫出版,12,─,11.15,─
106,出版,雜誌出版,雜誌出版,─,─,─,─
106,出版,數位出版,數位平臺,6,─,─,─
106,出版,原創圖像,插畫經紀,─,─,─,─
106,出版,出版行銷通路,單一／獨立書店,488,─,225.98,─
106,出版,出版行銷通路,連鎖書店（總公司）,36,,,
106,出版,出版行銷通路,網路書店（狹義）,8,,,
106,出版,出版行銷通路,二手書店,38,,,
107,出版,圖書出版,圖書出版,537,37113,407.72,─
107,出版,漫畫出版,漫畫出版,10,─,10.26,─
107,出版,雜誌出版,雜誌出版,232,─,129.14,─
107,出版,數位出版,數位平臺,6,─,31.95,─
107,出版,原創圖像,插畫經紀,─,─,─,─
107,出版,出版行銷通路,單一／獨立書店,476,─,214.44,─
107,出版,出版行銷通路,連鎖書店（總公司）,36,,,
107,出版,出版行銷通路,網路書店（狹義）,8,,,
107,出版,出版行銷通路,二手書店,76,,,
108,出版,圖書出版,圖書出版,545,13832,388.42,15.7
108,出版,漫畫出版,漫畫出版,10,,9.86,
108,出版,雜誌出版,雜誌出版,238,7283,124.08,0.62
108,出版,數位出版,數位平臺,20,1399,41.57,0.09
108,出版,原創圖像,插畫經紀,19,144,1.33,6.42
108,出版,出版行銷通路,單一／獨立書店,517,15831,200.4,0.27
108,出版,出版行銷通路,連鎖書店（總公司）,42,,,
108,出版,出版行銷通路,網路書店（狹義）,8,,,
108,出版,出版行銷通路,二手書店,91,,,
109,出版,圖書出版,圖書出版,537,11477,371.09,13.58
109,出版,漫畫出版,漫畫出版,14,,9.32,
109,出版,雜誌出版,雜誌出版,237,6162,116.75,0.6
109,出版,數位出版,數位平臺,20,1396,55.36,0.16
109,出版,原創圖像,圖像開發/插畫經紀,125,823,6.17,0.18
109,出版,出版行銷通路,單一／獨立書店,523,13495,201.62,8.41
109,出版,出版行銷通路,連鎖書店（總公司）,40,,,
109,出版,出版行銷通路,網路書店（狹義）,8,,,
109,出版,出版行銷通路,二手書店,79,,,
98,影視,電視產業,電視節目製作,780,"4,546",158.31,2.22
98,影視,電視產業,電視節目後製,14,563,7.26,0
98,影視,電視產業,電視節目發行,85,541,52.68,0.27
98,影視,電視產業,電視內容產業,879,"5,650",218.25,2.49
